code,name,unit,stock,deal,free,pur_deal,pur_free,cost,value,mrp,pur_rate,rate,company,manufact,rackno
"22358","ABOVE 5-D CAPS  6 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PFIZER PRODUCT INDIA PVT LTD","",""
"22357","ABOVE 5 TAB  7 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PFIZER PRODUCT INDIA PVT LTD","",""
"19328","AB PHYLLINE CAP  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SUN PHARMACEUTICAL IND","",""
"23938","AB PHYLLINE SR 200MG  10TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SUN PHARMACEUTICAL IND","",""
"21865","AB PHYLLINE SYP  100 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SUN PHARMACEUTICAL IND","",""
"28365","AB-SOAP  75GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"OPTHO REMEDIES (P)LTD","",""
"20335","ABSOLUT 3G CAPS  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PHARMED LIMITED","",""
"16244","ABSOLUT CAP  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PHARMED LIMITED","",""
"16245","ABSOLUT DM CAP  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PHARMED LIMITED","",""
"16377","ABSOLUT SYP  100 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PHARMED LIMITED","",""
"21475","ABWAL SUSP  10 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WALLACE PHARMACEUTICALS","",""
"21476","ABWAL TAB  1'S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WALLACE PHARMACEUTICALS","",""
"18","ABZ 400 MG TAB  1 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"INDOCO REMEDIES LTD.","",""
"20","ABZOLE 400 MG TAB  1 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"EUPHORIC","",""
"21","ABZORB  POW  120 GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"RANBAXY.","",""
"24977","ABZORB SOAP  1 PC","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"RANBAXY.","",""
"19","ABZ SYP  10 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"INDOCO REMEDIES LTD.","",""
"15705","AC 25 TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"USV","",""
"15704","AC 50 TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"USV","",""
"29224","AC 625 TAB  6T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"DEYS MEDICAL STORES","",""
"14539","ACAMPROL TAB  6 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SUN PHARMACEUTICAL IND","",""
"15372","ACARB-25 TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MANO PHARMA","",""
"15371","ACARB-50 TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MANO PHARMA","",""
"21370","ACCEMOL TAB  6 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"GENO PHARMACEUTICALS LTD","",""
"22184","ACCETIZ  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"GENO PHARMACEUTICALS LTD","",""
"24165","ACCETIZ P TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"GENO PHARMACEUTICALS LTD","",""
"27677","ACCU-CHEK-50","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SURGICAL","",""
"18817","ACCUTAZ HS  INJ  1 VAIL","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MACLEODS PHARMACEUTICALS LTD.","",""
"38","ACEBITOR 10 MG  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"GLAXO SMITHKLINE LTD","",""
"49","ACEBITOR 5 MG  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"GLAXO SMITHKLINE LTD","",""
"25063","ACEBROFACT CAP  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CADILA PHARMACEUTICALS LTD","",""
"23159","ACEBROLIN CAPS  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"TORRENT PHARMACEUTICALS LTD","",""
"23160","ACEBROLIN SYP  100 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"TORRENT PHARMACEUTICALS LTD","",""
"22561","ACECEF 1GM INJ  10 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"22562","ACECEF-S 1.5GM INJ  20 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"22563","ACECLAV-1.2GM INJ  20 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"16888","ACECLO 100 TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ARISTO PHARMACEUTICALS","",""
"16890","ACECLO MR TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ARISTO PHARMACEUTICALS","",""
"16889","ACECLO PLUS TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ARISTO PHARMACEUTICALS","",""
"17942","ACECLO-SERA TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ARISTO PHARMACEUTICALS","",""
"27812","ACECLO SPAS  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ARISTO PHARMACEUTICALS","",""
"16891","ACECLO SR TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ARISTO PHARMACEUTICALS","",""
"32426","ACECLOWAL SP TAB 10","TAB.",20.000,0,0,0,0,17.0800,341.60,94.50,15.25,0.00,"ALKEM ACE ALTIS","",""
"60","ACEDIP TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"RPG LIFE SCIENCES LTD.","",""
"22564","ACEDOL 50MG INJ  2 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"22565","ACEFIT-G CAP  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"22567","ACEFIX-100MG CAP  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"22568","ACEFIX-200MG CAP  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"22338","ACEFLAM-P TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ALVIO PHARMACEUTICALS PVT LTD","",""
"24438","ACEFORD-P TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"OXFORD PHARMA","",""
"14805","ACEJET-P TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"THEMIS MEDICARE LIMITED","",""
"14811","ACEJET TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"THEMIS MEDICARE LIMITED","",""
"22569","ACEKIN-500MG INJ.  2 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SPACE CARE","",""
"18984","ACEKON P TAB  10'S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"KONTEST","",""
"23585","ACELAST CAPS 100MG  10'S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"RANBAXY.","",""
"27675","ACELO-P  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"KALPANA","",""
"25839","ACEMIN TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"TOTAL HEALTH CARE","",""
"27920","ACEMIZ FAST TAB  10","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN LIMITED","",""
"32433","ACEMIZ MR TAB 1*10","TAB.",5.000,0,0,0,0,25.0880,125.44,132.30,22.40,0.00,"ALKEM ACE ALTIS","",""
"25669","ACEMOVE PLUS TAB  10'S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SANAT PRODUCTS LTD.","",""
"25670","ACEMOVE-XT TAB  10'S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SANAT PRODUCTS LTD.","",""
"14392","ACENAC-100 MG TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MEDLEY","",""
"22176","ACENAC MR TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MEDLEY","",""
"14419","ACENAC-P TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MEDLEY","",""
"31887","ACENAC SP TAB  10","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MEDLEY","",""
"16376","ACENAC-SR TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MEDLEY","",""
"27126","ACENEX INJ  1ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BIONEXT PHARMA","",""
"26457","ACENEX PLUS TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BIONEXT PHARMA","",""
"26458","ACENEX SR PLUS TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BIONEXT PHARMA","",""
"29160","ACEPOL-T TAB  10TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ORDAIN HEALTHCARE PVT LTD","",""
